name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
"Designer's picturesque, large flat",115946844,Brooklyn,Brooklyn Heights,40.69819,-73.99324,Entire home/apt,103,2,13,2017-12-30,0.45,1,0
Spacious Apartment in the Heart of Manhattan,3558557,Manhattan,Gramercy,40.73556,-73.98913,Entire home/apt,159,2,15,2019-05-12,0.57,1,33
Sun Room Family Home LGA Airport NO CLEANING FEE,26432133,Queens,East Elmhurst,40.76367,-73.87088,Private room,48,1,417,2019-07-07,14.36,5,338
Cute Chelsea Apartment - 1 BR - Amazing Location!,10160214,Manhattan,Chelsea,40.73977,-73.99938,Entire home/apt,190,12,5,2019-06-06,0.5,1,32
"Artistic Room with AC,3 Mins walk to the subway",37163867,Queens,Long Island City,40.75455,-73.92006,Private room,80,30,18,2019-07-01,0.62,1,92
Spacious Apt. 20 Mins from Manhattan!,81876750,Queens,Astoria,40.76043,-73.91465,Private room,96,2,18,2019-04-28,0.62,1,364
Friendly Room 20-202,115993835,Brooklyn,Sunset Park,40.63992,-74.0076,Private room,28,1,31,2019-03-10,1.08,5,1
Quiet Apt in the Upper West Side near Central Park,115567902,Manhattan,Upper West Side,40.78141,-73.97681,Entire home/apt,160,4,22,2019-03-22,0.75,1,0
Private Room20-102,115993835,Brooklyn,Sunset Park,40.63929,-74.00669,Private room,30,1,27,2019-04-01,1.64,5,168
Clean 1br w/Parking Incl.  also 10min near JFK/LGA,116056294,Queens,Rego Park,40.73048,-73.85331,Private room,50,1,34,2019-07-06,1.17,1,347
Beachy sun drenched studio in NYC,6705828,Manhattan,Gramercy,40.7363,-73.98969,Entire home/apt,300,3,0,,0.0,1,93
Private Bedroom in Williamsburg,17928071,Brooklyn,Williamsburg,40.71162,-73.95631,Private room,85,3,12,2019-05-14,0.58,2,289
Astoria 1BR in Quiet Corner Close to Manhattan,261608,Queens,Ditmars Steinway,40.772,-73.91848,Entire home/apt,60,4,3,2018-10-14,0.1,1,0
Getaway 2 Bed 1 Bath close to park,113805886,Manhattan,Upper East Side,40.77747,-73.95193,Entire home/apt,190,31,4,2019-01-03,0.21,33,299
Spectacular 2 bed 1 bath Close to Park,113805886,Manhattan,Upper East Side,40.77878,-73.9501,Entire home/apt,180,31,10,2019-05-31,0.55,33,331
Large 2 bed 2 bath close to Park,113805886,Manhattan,Upper East Side,40.77823,-73.95127,Entire home/apt,235,31,9,2019-02-19,0.39,33,333
Bright & Spacious Chelsea Studio,13238971,Manhattan,Chelsea,40.74281,-73.99969,Entire home/apt,175,4,5,2018-06-21,0.23,1,8
Big 1 bdroom w balcony Williamsburg,116126452,Brooklyn,Williamsburg,40.70721,-73.95341,Entire home/apt,160,2,17,2018-07-09,0.59,1,3
"East Village, private room with free breakfast",115395049,Manhattan,East Village,40.72598,-73.98856,Private room,145,1,25,2019-05-26,0.88,2,329
Cozy Brooklyn Apartment,51706510,Brooklyn,Gowanus,40.6707,-73.99118,Shared room,37,1,9,2017-05-08,0.31,1,0
Awesome Apartment in the E Village!,6489574,Manhattan,East Village,40.72759,-73.98619,Entire home/apt,140,1,31,2019-06-30,1.14,1,1
Private entrance large room BK for your NYC stay!,40146897,Brooklyn,Crown Heights,40.67203,-73.922,Private room,45,2,18,2018-06-04,0.63,5,0
"Guest Room in High Ceiling Duplex, Williamsburg! 1",40511252,Brooklyn,Williamsburg,40.70585,-73.9531,Private room,52,30,4,2019-03-24,0.17,3,294
Yankee Stadium apartment in Bronx,8159536,Bronx,Concourse,40.83243,-73.92035,Private room,40,1,11,2019-02-20,0.42,3,239
Bedstuy/Bushwick - Fully Renovated One Bedroom,11638358,Brooklyn,Bedford-Stuyvesant,40.69,-73.93783,Entire home/apt,100,4,77,2019-06-16,2.66,2,100
"Cozy bdrm. Astoria, Queens. 10 min to Manhattan.",26561588,Queens,Astoria,40.7578,-73.92368,Private room,40,2,1,2017-02-20,0.03,1,0
Sunny atelier in bustling East Village,105631352,Manhattan,East Village,40.72412,-73.97815,Private room,74,2,29,2018-04-22,1.01,3,0
Balcony on 2nd floor Entire Apt close to Subway,116268542,Brooklyn,East New York,40.67404,-73.88276,Entire home/apt,62,1,98,2019-06-25,3.4,1,23
Private Studio in a superb location,3726590,Manhattan,Upper East Side,40.76851,-73.95506,Entire home/apt,150,1,6,2019-05-02,0.21,1,7
One bedroom apt right on Franklin Ave,12334470,Brooklyn,Crown Heights,40.66881,-73.95743,Entire home/apt,100,50,8,2018-01-02,0.33,1,0
Private BR in Manhattan right near express trains!,2158706,Manhattan,Harlem,40.81288,-73.94155,Private room,49,1,11,2017-08-11,0.4,1,0
Cozy Greenpoint bedroom #2,26899015,Brooklyn,Greenpoint,40.72317,-73.94856,Private room,70,2,0,,0.0,1,0
An Oasis in the Big Apple,40032009,Manhattan,Morningside Heights,40.80387,-73.96367,Entire home/apt,200,5,2,2017-03-14,0.07,2,0
Brooklyn Bushwick,112261228,Brooklyn,Bushwick,40.69718,-73.92157,Private room,45,2,72,2019-06-29,2.54,1,51
Modern Rooftop Loft W/ Private Ensuite & Cityviews,48076117,Brooklyn,Crown Heights,40.6752,-73.93215,Private room,75,1,213,2019-06-30,7.71,2,52
Newly Renovated / No cleaning Fee / Hell's Kitchen,4454849,Manhattan,Hell's Kitchen,40.76407,-73.99203,Entire home/apt,131,2,0,,0.0,1,0
URBAN LUXURY 2BR DUPLEX~24/7 DOORMAN/GYM~SUTTON PL,2856748,Manhattan,Midtown,40.75802,-73.96125,Entire home/apt,500,90,0,,0.0,49,364
Contemporary. Spacious Apartment. Close to Ferry.,115259709,Staten Island,St. George,40.64508,-74.08126,Entire home/apt,180,2,59,2019-06-25,2.21,1,135
LIVING THE NYC EXPERIENCE,7889472,Manhattan,Harlem,40.81922,-73.95672,Entire home/apt,355,5,14,2018-04-30,0.49,1,89
Little Red and the big GWB,116333529,Manhattan,Washington Heights,40.85076,-73.94047,Private room,50,1,0,,0.0,1,0
Townhouse apt. Close to city. 3 bedrooms & 2 bath,116365995,Queens,Woodside,40.74705,-73.90792,Entire home/apt,275,4,31,2019-07-04,1.21,2,283
Brooklyn home.  Comfort and clean. Liguria room.,2787,Brooklyn,Bensonhurst,40.60877,-73.97382,Private room,49,1,19,2019-06-08,0.7,6,360
Thelonious Monk room at The Harlem Townhouse,3236595,Manhattan,Harlem,40.80754,-73.95151,Private room,58,2,68,2019-06-26,2.35,4,1
"Luxury/3 bdrms/2 baths/private parking/1,000 sqft",116396065,Brooklyn,Sheepshead Bay,40.6027,-73.9486,Entire home/apt,179,2,101,2019-07-06,3.53,1,211
"Shay's Place #1
( 1 Bdrm. Apt )
5 mins From JFK",116404073,Queens,Springfield Gardens,40.66812,-73.76303,Entire home/apt,95,1,240,2019-07-07,9.66,2,253
Custom Designed West Village 2 Bedroom,29893723,Manhattan,West Village,40.73115,-74.00429,Entire home/apt,158,1,5,2017-05-11,0.18,1,0
Spacious Private 1BR with more sleeping space,95341719,Brooklyn,Crown Heights,40.67013,-73.94397,Entire home/apt,165,2,23,2019-07-04,0.83,3,182
"Spacious, Private 1BR with more sleeping space",95341719,Brooklyn,Crown Heights,40.66977,-73.94341,Entire home/apt,169,2,31,2019-06-26,1.15,3,175
Entire Studio Apt in Trendy Brooklyn - Sunny&clean,6396827,Brooklyn,Crown Heights,40.67083,-73.94808,Entire home/apt,135,2,18,2017-11-20,0.64,1,0
Lighted Luxury Studio!,40821640,Queens,Forest Hills,40.72737,-73.85156,Entire home/apt,50,27,0,,0.0,1,0
"Spacious, Private Apartment in Bed Stuy, Brooklyn",116427778,Brooklyn,Bedford-Stuyvesant,40.68318,-73.91682,Entire home/apt,85,3,35,2018-07-30,1.22,1,0
RH - Budget Friendly room in the Greenpoint Area!,11612872,Brooklyn,Greenpoint,40.73643,-73.95495,Private room,53,2,78,2019-06-07,2.68,3,14
Large one-bedroom in of Manhattan mid-town west,114890218,Manhattan,Hell's Kitchen,40.76269,-73.99139,Entire home/apt,185,7,20,2019-03-27,0.71,1,23
"Magical, Welcoming & Beautiful Huge 1 Bedroom Apt",57655724,Manhattan,Midtown,40.75598,-73.97034,Entire home/apt,260,2,64,2019-06-16,2.36,1,131
Newly Renovated Greenpoint Abode,8833885,Brooklyn,Greenpoint,40.72385,-73.9458,Entire home/apt,160,2,91,2019-06-27,3.35,2,101
"BROOKLYN HEIGHTS Private Studio, 1 stop Manhattan!",5130754,Brooklyn,Brooklyn Heights,40.69343,-73.99611,Entire home/apt,100,4,3,2019-06-15,0.2,1,4
SUNNY AND SPACIOUS FULL FLOOR APT!!,11661027,Brooklyn,Greenpoint,40.72699,-73.9581,Entire home/apt,240,2,16,2019-05-05,0.57,1,302
Essex House Historic Condo/hotel,29339405,Manhattan,Midtown,40.76579,-73.97701,Entire home/apt,300,5,3,2017-07-18,0.12,1,115
Beautiful 2BR with Private Rooftop Deck LES,7384312,Manhattan,Lower East Side,40.71306,-73.98715,Entire home/apt,250,1,67,2019-06-23,2.46,1,185
"Beautiful 1 bedroom apart, Washington Heights",17713747,Manhattan,Washington Heights,40.85369,-73.93237,Private room,60,7,1,2018-01-06,0.05,3,0
Private Garden Apt in Boerum Hill,15999314,Brooklyn,Boerum Hill,40.68749,-73.98701,Entire home/apt,149,2,0,,0.0,1,0
法拉盛summer家(B)closed to JFK&LGA&Citi Field#parking,62023756,Queens,Fresh Meadows,40.74624,-73.78327,Private room,69,1,62,2019-07-05,4.26,3,65
Modern Apt on Best Location in Brooklyn !,1409823,Brooklyn,Bedford-Stuyvesant,40.68859,-73.94998,Entire home/apt,75,5,16,2019-05-28,0.58,1,15
Manhattan cozy bedroom with private bathroom,59794802,Manhattan,Hell's Kitchen,40.76642,-73.99423,Private room,150,6,0,,0.0,1,51
Charming 1 Bedroom in center of East Village,3407346,Manhattan,East Village,40.72645,-73.98591,Entire home/apt,150,90,28,2019-04-30,1.03,1,0
Wonderful Charming Apt- Columbia University Area,40741349,Manhattan,Washington Heights,40.83705,-73.94083,Private room,60,1,3,2018-07-01,0.21,1,341
A Room with a View at The Funky Loft,1432946,Brooklyn,Bushwick,40.69554,-73.92458,Private room,80,3,179,2019-07-03,6.17,3,191
Private Room in Hell's Kitchen,6807898,Manhattan,Hell's Kitchen,40.76076,-73.99266,Private room,110,1,7,2019-06-23,0.24,1,45
Chelsea/Union Square cozy studio,126718,Manhattan,Chelsea,40.73958,-73.9975,Entire home/apt,160,2,1,2017-06-25,0.04,1,0
Big Beautiful Room in Quiet Area with Private Bath,55198931,Brooklyn,Flatbush,40.64774,-73.96517,Private room,65,2,12,2017-10-03,0.44,1,294
HUGE bright bedroom in prime Williamsburg!,17518837,Brooklyn,Williamsburg,40.7179,-73.95702,Private room,72,21,1,2017-02-21,0.03,1,0
BK diggs,50153931,Brooklyn,DUMBO,40.70206,-73.98804,Entire home/apt,250,1,0,,0.0,1,0
Your Home Away from Home,2168789,Brooklyn,Greenpoint,40.72938,-73.95675,Entire home/apt,175,2,15,2019-06-21,0.54,1,4
E. W'burg Private Room near subway,116709076,Brooklyn,Williamsburg,40.70245,-73.9427,Private room,80,15,47,2019-04-09,1.86,1,8
Private bedroom in the heart of West Village,23919461,Manhattan,West Village,40.73381,-74.00365,Private room,150,3,87,2019-06-20,3.09,2,39
"Spacious, modern, cozy & bright Williamsburg oasis",32694917,Brooklyn,Williamsburg,40.71186,-73.95402,Entire home/apt,144,2,24,2019-07-06,1.43,1,14
Private Room in Bed-Stuy Apartment,89241337,Brooklyn,Bedford-Stuyvesant,40.68957,-73.9457,Private room,45,1,0,,0.0,1,0
Private room w/private bathroom near Central Park!,4428742,Manhattan,Upper East Side,40.76875,-73.95965,Private room,95,2,2,2017-06-11,0.07,1,0
Charming bedroom in Manhattan,78866824,Manhattan,Upper West Side,40.80238,-73.96503,Private room,100,2,16,2018-07-26,0.56,1,0
Spacious Brownstone  1Bd,46493114,Brooklyn,Crown Heights,40.67756,-73.95427,Private room,56,4,34,2019-06-20,1.23,1,18
Gorgeous Studio & Balcony Garden @ THE MOTHERSHIP,4680813,Queens,Astoria,40.76752,-73.9314,Entire home/apt,150,7,12,2019-05-31,0.42,1,3
MODERN ROOM IN CHARMING CLINTON HILL+ SWEET VIEW 3,4291007,Brooklyn,Clinton Hill,40.69616,-73.96198,Private room,95,30,4,2018-05-28,0.14,11,311
MODERN ROOM IN CHARMING CLINTON HILL+ SWEET VIEW 1,4291007,Brooklyn,Clinton Hill,40.69521,-73.96199,Private room,95,30,6,2019-02-28,0.22,11,231
Backpackers Dream for 1 at The Funky Loft,1432946,Brooklyn,Bushwick,40.69652,-73.92351,Private room,70,3,174,2019-06-25,6.03,3,202
Plant-filled 1 BD by Prospect Park,9152821,Brooklyn,Flatbush,40.65258,-73.9624,Entire home/apt,100,1,0,,0.0,1,0
Beautiful room in Brooklyn (Bushwick),1267985,Brooklyn,Bushwick,40.70108,-73.9289,Private room,60,14,1,2017-02-25,0.03,1,0
Spacious and charming apartment in Brooklyn,31857792,Brooklyn,Cobble Hill,40.68766,-73.99125,Entire home/apt,170,4,8,2019-06-03,0.29,1,1
Furnished room-5A-1 110th st-3rd Ave.,18212433,Manhattan,East Harlem,40.79536,-73.94197,Private room,55,30,0,,0.0,8,341
Furnished Room/ 550/3,18212433,Manhattan,Washington Heights,40.85131,-73.93235,Private room,50,30,0,,0.0,8,358
Beautiful apartment with sweeping NYC views,116854478,Brooklyn,Carroll Gardens,40.68328,-73.99846,Entire home/apt,250,4,0,,0.0,1,0
Manhattan Midtown Vacation Home away from Home,116870039,Manhattan,Kips Bay,40.74511,-73.9778,Entire home/apt,200,3,72,2019-06-21,2.55,1,249
Modern 1 bd in the heart of East Village,34386241,Manhattan,East Village,40.7261,-73.98421,Entire home/apt,175,2,4,2017-04-10,0.14,2,0
"Attractive Room, Quiet Area . Easy commute Man.",116881616,Brooklyn,Bath Beach,40.60382,-74.01083,Private room,45,4,17,2019-06-07,0.65,2,17
Beautiful Sunlit Retreat in Manhattan,116889152,Manhattan,Harlem,40.81961,-73.94583,Entire home/apt,175,2,145,2019-06-23,5.0,2,127
Private  suite,42814202,Queens,Fresh Meadows,40.74227,-73.78707,Entire home/apt,90,1,26,2019-07-08,0.9,3,358
Sweet deco room in amazing location,116871769,Brooklyn,Williamsburg,40.71018,-73.94858,Private room,78,1,55,2019-06-30,2.01,1,345
My little LOFT in Brooklyn :),104235754,Brooklyn,Bedford-Stuyvesant,40.68336,-73.95421,Entire home/apt,100,1,27,2019-07-06,0.98,1,39
Charming place on the hippest street in NYC,63771415,Manhattan,East Village,40.72713,-73.98159,Entire home/apt,175,2,35,2019-06-16,1.22,1,0
曼哈顿景色豪华公寓,54001762,Manhattan,Hell's Kitchen,40.76189,-73.99751,Private room,99,10,2,2017-06-16,0.08,1,0
Comfortable bedroom in shared apartment,3782666,Queens,Astoria,40.76326,-73.91673,Private room,70,4,0,,0.0,1,0
Live Like a Local in West Village!,116992515,Manhattan,West Village,40.73023,-74.00294,Entire home/apt,250,3,28,2019-06-17,1.03,1,51
Private Room East Village near Union Square,114075917,Manhattan,East Village,40.73241,-73.98878,Private room,91,6,1,2017-11-12,0.05,1,0
Williamsburg Bedfd Stop 1000 sqft 1 Bed + 1.5 Bath,10291534,Brooklyn,Williamsburg,40.71372,-73.96326,Entire home/apt,200,1,63,2019-06-27,2.29,1,270
Renovated Cozy room  for 2 or solo traveler,10475653,Brooklyn,Kensington,40.64769,-73.97435,Private room,40,1,122,2019-06-27,4.21,3,222
Private room in stylish uptown apartment,2653648,Manhattan,Harlem,40.82316,-73.95343,Private room,75,30,1,2018-04-26,0.07,2,133
Beautiful large private room in Sunnyside Gardens,117108525,Queens,Sunnyside,40.74603,-73.91412,Private room,50,1,72,2019-06-24,2.98,2,129
Brownstone Studio,115854410,Brooklyn,Bedford-Stuyvesant,40.68469,-73.947,Entire home/apt,110,3,116,2019-06-21,4.03,1,216
"Stylish, Spacious room Express train to Midtown",5334697,Manhattan,Washington Heights,40.84114,-73.93639,Private room,69,5,33,2019-07-02,1.17,3,1
Relaxing Stylish Room near Train and Attractions,42024722,Manhattan,Chelsea,40.74462,-74.00139,Private room,103,5,77,2019-07-07,2.73,2,79
Huge beautiful apartment - entire floor!,12501130,Brooklyn,Crown Heights,40.67656,-73.93705,Entire home/apt,100,2,106,2019-06-16,3.72,1,28
"Bright, comfy, elegant room near Express Train",5334697,Manhattan,Washington Heights,40.84099,-73.93694,Private room,73,5,41,2019-06-21,1.45,3,228
Large Modern 3-bdrm Duplex Apt near Manhattan,108982711,Queens,Astoria,40.75651,-73.91485,Entire home/apt,180,2,70,2019-07-01,2.64,1,175
One Bedroom Apt in NYC on 1st Floor!,2450673,Manhattan,Washington Heights,40.84417,-73.94063,Entire home/apt,79,1,4,2018-01-07,0.14,1,0
Spacious Brooklyn One Bedroom/Loft***Morgan L Stop,40313256,Brooklyn,Williamsburg,40.70552,-73.93,Entire home/apt,195,4,0,,0.0,1,0
Private Apt Near NYC Airport & Northshore Hospital,65232368,Queens,Douglaston,40.76978,-73.73915,Entire home/apt,99,1,49,2019-06-30,1.7,1,247
Great spacious room in Stylish apt near Highline,42024722,Manhattan,Chelsea,40.7456,-74.00107,Private room,100,5,66,2019-07-01,2.37,2,99
Large Cozy 1 bedroom Apt in South Williamsburg,1789596,Brooklyn,Williamsburg,40.70744,-73.95417,Entire home/apt,125,6,10,2019-01-03,0.36,1,239
Lovely Bedroom in Quiet Prospect Heights Apartment,24878388,Brooklyn,Prospect Heights,40.67305,-73.96824,Entire home/apt,149,5,1,2017-08-22,0.04,2,0
Awesome Manhattan Midtown Apartment,16328732,Manhattan,Roosevelt Island,40.76253,-73.95001,Entire home/apt,58,2,9,2017-08-27,0.32,1,0
"Greenpoint, Brooklyn - Spacious Private Room",3537298,Brooklyn,Greenpoint,40.7355,-73.95677,Private room,75,28,3,2017-05-27,0.11,1,0
An Oasis in the Big Apple,40032009,Manhattan,Morningside Heights,40.80391,-73.96576,Entire home/apt,140,5,0,,0.0,2,0
"Modern & Luxurious 1 Bedroom, close to A/J Trains!",40426686,Queens,Ozone Park,40.68572,-73.8493,Entire home/apt,69,4,0,,0.0,1,0
3 Bed/ 1.5 Bath Midtown Apt near Empire State,117347203,Manhattan,Kips Bay,40.7443,-73.97925,Entire home/apt,250,5,69,2019-06-26,2.44,1,163
"Cozy 1 bedroom, Lower East Side",40438814,Manhattan,East Village,40.72117,-73.98215,Entire home/apt,160,3,31,2019-01-13,1.08,1,136
Bedroom + Private Bath Near Central Park & Subways,103960,Manhattan,Harlem,40.80113,-73.95287,Private room,70,4,35,2017-12-09,1.24,1,0
Chic Space in Chelsea,572879,Manhattan,Chelsea,40.7435,-74.00119,Private room,289,2,128,2019-06-17,4.52,1,252
PRIVATE ROOM - Sunny and Spacious - Brooklyn Loft,4120523,Brooklyn,Williamsburg,40.70616,-73.92918,Private room,29,2,58,2019-02-11,2.02,2,0
Superhost HUGE Room+Private Bath -Yankee Stadium,11196496,Bronx,Highbridge,40.83173,-73.92824,Private room,75,1,127,2019-06-30,4.45,1,134
"Cozy 1BD near JFK, Beach, Subway, Buses, & Kitchen",112910861,Queens,Far Rockaway,40.59745,-73.76032,Private room,35,1,61,2019-06-06,2.12,2,124
Cabins at Chelsea (NYC),117365574,Manhattan,Chelsea,40.74819,-73.9954,Private room,82,1,147,2019-06-23,5.08,5,292
"Amazin 1BD in Queens, JFK, St John's Hosp, Kitchen",112910861,Queens,Far Rockaway,40.59692,-73.7602,Private room,35,1,42,2019-05-30,1.52,2,124
Cozy room in Prospect Heights,16066047,Brooklyn,Crown Heights,40.67919,-73.95918,Private room,70,2,12,2019-06-28,0.47,1,120
Spacious Private Room in Beautiful Audubon Park,8140134,Manhattan,Washington Heights,40.83712,-73.94664,Private room,75,2,2,2017-12-27,0.1,1,0
Gem In Park Slope,1339545,Brooklyn,Park Slope,40.67005,-73.97981,Entire home/apt,120,3,125,2019-06-25,4.51,2,61
"Room at  Artist  Apt in Wburg, BK",117399779,Brooklyn,Williamsburg,40.71304,-73.96497,Private room,200,3,5,2017-10-08,0.18,1,0
Nice clean room in Brooklyn,42864513,Brooklyn,Bedford-Stuyvesant,40.68469,-73.9375,Private room,65,5,69,2019-06-13,2.4,1,104
*Rare Find* Fantastic 2 Bed Apt inTimes Square,15034908,Manhattan,Hell's Kitchen,40.7621,-73.99354,Entire home/apt,178,3,84,2019-06-16,2.92,2,74
Immaculate 1BR in quiet Bedstuy brownstone.,25270209,Brooklyn,Bedford-Stuyvesant,40.68146,-73.94757,Entire home/apt,45,2,3,2017-03-01,0.1,1,0
Large sunny park slope apartment,1012628,Brooklyn,Park Slope,40.67135,-73.97759,Entire home/apt,150,1,0,,0.0,1,0
Prime Williamsburg Location! 10 min from Manhattan,32405588,Brooklyn,Williamsburg,40.71059,-73.96002,Private room,99,3,46,2019-06-24,1.62,2,141
Cozy modern studio in heart of LES,43682230,Manhattan,Lower East Side,40.72056,-73.98539,Entire home/apt,325,2,2,2017-09-22,0.09,1,180
Georgeous 1BR - Modern Cozy Clean - Great location,108621536,Manhattan,Upper East Side,40.77279,-73.94696,Entire home/apt,209,4,2,2017-09-18,0.08,1,0
"Quiet, Bright, 2 Story Home Close to It All",115827173,Queens,Briarwood,40.71512,-73.81928,Entire home/apt,249,4,6,2019-06-01,0.29,2,353
INCREDIBLE TOWNHOUSE 4 STORIES 5 BEDROOMS 3 BATH,34474212,Manhattan,West Village,40.73444,-74.00129,Entire home/apt,600,2,93,2019-06-23,3.38,1,251
Spacious beautiful bedroom:),73541674,Queens,Ditmars Steinway,40.77367,-73.91517,Private room,40,3,0,,0.0,2,82
★ NEW 2 BEDROOM APT NEXT TO CENTRAL PARK WEST★,9293730,Manhattan,Upper West Side,40.79584,-73.96242,Entire home/apt,135,30,5,2019-05-11,0.21,16,200
"@Ferry,HUGE 2Br/3beds. Private,Renovated/Stylish..",117492425,Staten Island,St. George,40.64596,-74.08059,Entire home/apt,65,4,96,2019-07-01,3.42,6,147
Spacious Brooklyn Bedroom For the Month of Nov.,117498033,Brooklyn,Crown Heights,40.67561,-73.93138,Private room,35,20,0,,0.0,1,0
Brooklyn's Cozy Jewel,117507630,Brooklyn,Crown Heights,40.67018,-73.93224,Entire home/apt,99,4,55,2019-06-26,2.06,2,17
MONTHLY PRICE- Perfect for one person in Astoria,40549648,Queens,Astoria,40.75832,-73.91448,Private room,47,15,23,2019-05-31,0.83,2,31
Cozy PRIVATE bathroom CLEAN New Construction,19303369,Queens,Elmhurst,40.73889,-73.87713,Private room,35,30,0,,0.0,37,33
Light-Filled Flatiron: Double Bed 'n Private Bath,117521391,Manhattan,Gramercy,40.73828,-73.98954,Private room,250,3,33,2019-05-06,1.18,1,167
Intimate Williamsburg Apartment,1450005,Brooklyn,Williamsburg,40.71493,-73.95084,Entire home/apt,90,5,2,2017-05-07,0.07,1,0
Cozy charming room close to Prospect Park,20659301,Brooklyn,Prospect-Lefferts Gardens,40.65642,-73.96085,Private room,53,14,7,2019-06-30,0.27,1,173
"Private Entrance,Room and Bathroom!",99556266,Manhattan,East Harlem,40.7993,-73.93305,Private room,120,2,37,2018-08-03,1.33,2,304
Sunny & Spacious - Private Master Bedroom near JFK,52132241,Brooklyn,Crown Heights,40.67293,-73.93273,Private room,54,2,53,2019-06-02,2.3,1,8
First Floor Studio on the Upper East Side!,20410925,Manhattan,Upper East Side,40.78007,-73.94803,Entire home/apt,125,3,30,2019-06-28,1.08,1,4
Sunny Studio near Central Park,71482332,Manhattan,Upper East Side,40.76684,-73.96203,Entire home/apt,126,1,31,2019-01-03,1.12,1,0
Joy,38294216,Queens,South Ozone Park,40.66561,-73.81103,Private room,50,15,2,2019-04-19,0.39,4,190
NYC - Upper west side Studio,117685023,Manhattan,Upper West Side,40.80355,-73.96831,Entire home/apt,110,7,3,2017-07-31,0.11,1,0
2 cozy rooms in a quiet building,39731713,Queens,Ridgewood,40.69934,-73.90348,Private room,45,3,0,,0.0,1,0
"Small Basic Room in Great Area: Long Term, 2 beds!",117699517,Queens,East Elmhurst,40.75602,-73.88111,Private room,49,4,2,2018-12-13,0.09,1,355
Space for Creating and Staying  in Bed-Stuy,117742969,Brooklyn,Bedford-Stuyvesant,40.69392,-73.9472,Entire home/apt,98,2,6,2019-06-09,0.93,1,359
Ultimate Studio Sublet in heart of Williamsburg,9558820,Brooklyn,Williamsburg,40.71813,-73.95822,Entire home/apt,289,3,7,2018-07-19,0.26,1,0
Huge  Bedroom in Astoria for One (1) Professional,49117269,Queens,Astoria,40.75851,-73.92555,Private room,110,4,40,2019-07-05,1.41,2,47
"Huge room, Social Home!",21697069,Brooklyn,Kensington,40.64465,-73.97871,Private room,45,3,5,2017-04-12,0.18,1,0
Luxury Apt Close to JFK Airport,110858930,Queens,Cambria Heights,40.69206,-73.74546,Entire home/apt,169,2,65,2019-06-26,2.33,1,263
"Spacious, Private 2 BR , 4 Bathrooms in Brooklyn",95341719,Brooklyn,Crown Heights,40.66971,-73.94351,Entire home/apt,275,1,26,2019-06-21,0.96,3,271
Beautiful Light Filled 1 Bedroom in Kosher Apt,106272021,Brooklyn,East Flatbush,40.66067,-73.93796,Private room,50,2,16,2019-06-15,0.57,3,43
"Huge, Clean & Classy Studio Room in Shared Apt",76186812,Brooklyn,Bedford-Stuyvesant,40.68083,-73.94445,Private room,36,5,8,2019-05-29,1.31,2,0
Cozy modern stay,25426687,Brooklyn,Borough Park,40.64551,-73.9981,Entire home/apt,110,2,45,2019-07-06,1.65,1,342
Sunny Quiet Room in Clean Modern Apartment,16145840,Manhattan,East Harlem,40.79877,-73.93964,Private room,105,3,21,2019-05-21,1.14,2,9
LANDMARK TOWNHOUSE IN HISTORIC DISTRICT,13392996,Manhattan,Washington Heights,40.8339,-73.9383,Entire home/apt,75,4,75,2019-06-17,2.64,1,166
Cozy apartment near JFK,59900881,Queens,Howard Beach,40.66406,-73.84599,Entire home/apt,100,7,37,2019-01-02,1.42,1,0
Cozy Bedroom and Private Bath in Spacious Duplex,42835213,Brooklyn,East Flatbush,40.64841,-73.95178,Private room,75,4,27,2019-06-08,0.95,2,54
Small room in Queens,113558700,Queens,Rego Park,40.72749,-73.86035,Private room,30,1,61,2019-06-08,2.17,3,361
Standard New York girls room,117922187,Manhattan,Roosevelt Island,40.76437,-73.94844,Private room,150,1,0,,0.0,1,88
2 bedroom apt. in Manhattan-Gramercy apt building,117932348,Manhattan,Gramercy,40.73521,-73.98147,Entire home/apt,155,20,25,2019-07-05,1.06,2,62
Swanky Bushwick Penthouse,29655230,Brooklyn,Bedford-Stuyvesant,40.69507,-73.93426,Private room,68,30,11,2017-09-30,0.39,1,87
Safe and Convinient rooms close to NYC.,117930151,Queens,Long Island City,40.74454,-73.94016,Private room,109,1,35,2019-05-27,1.23,2,364
Amazing Loft in the heart of Williamsburg,117941939,Brooklyn,Williamsburg,40.71269,-73.96409,Private room,20,14,3,2018-04-30,0.11,1,277
Khimani's Pad,117945802,Brooklyn,East Flatbush,40.6425,-73.94293,Entire home/apt,88,2,11,2017-07-30,0.39,1,0
Royal Suite at Northern Lights Mansion,1261480,Manhattan,Harlem,40.80825,-73.95004,Private room,500,1,13,2018-10-03,0.62,2,361
1B Large studio in Williamsburg with terrace,49704571,Brooklyn,Williamsburg,40.71942,-73.94272,Entire home/apt,80,30,6,2019-01-19,0.22,8,156
Spacious Bed and Bathroom in Brooklyn,117962524,Brooklyn,Sheepshead Bay,40.60913,-73.95254,Private room,100,1,1,2017-02-25,0.03,1,0
Couch in Harlem Harvey Refugees only,33511962,Manhattan,Harlem,40.81302,-73.95349,Shared room,10,1,0,,0.0,1,0
